CONTRACTION;;;;
Machine ID;Latte 2001;;;
Time stamp;2018-10-11 14:38:43;;;
Start temperature [°C];26.596;;;
End temperature [°C];9.413;;;
Average cooling [°C/min];0.429575;;;
Start pressure [Pa];104803;;;
End pressure [Pa];96964;;;
Delta pressure [Pa];7839;;;
Max contraction [%];3.6;;;
Max contraction time [s];2348;;;
Crystalline start time [s];48;;;
Crystalline start temperature [°C];26.61;;;
Crystalline end time [s];2396;;;
Crystalline end temperature [°C];9.446;;;
No.samples;600;;;
RECIPE;;;;
Recipe name;Standard Contraction;;;
Chocolate temperature;28;;;
Offset;0;;;
Cooling temperature;40;;;
Test time;2400;;;
DATA;;;;
Time [s];Probe [°C];Pressure [Pa];Contraction [%];
0;26.596;104803;0;
4;26.599;104803;0.00190171;
8;26.602;104802;0.0056164;
12;26.606;104808;-0.00272586;
16;26.61;104808;-0.000190772;
20;26.613;104809;-0.000101989;
24;26.613;104811;-0.00372756;
28;26.615;104807;0.00479188;
32;26.616;104810;-1.32083e-05;
36;26.616;104812;-0.00363875;
40;26.614;104811;-0.00309411;
44;26.615;104806;0.0066048;
48;26.61;104811;-0.00562913;
52;26.609;104809;-0.00263706;
56;26.603;104802;0.00624991;
60;26.597;104802;0.00244645;
64;26.591;104800;0.00227013;
68;26.584;104799;-0.000353948;
72;26.577;104799;-0.00479104;
76;26.568;104796;-0.00505755;
80;26.557;104792;-0.00477815;
84;26.546;104791;-0.00993799;
88;26.535;104788;-0.0114731;
92;26.524;104782;-0.00756752;
96;26.511;104780;-0.012182;
100;26.498;104772;-0.00591799;
104;26.483;104770;-0.0118027;
108;26.47;104763;-0.0073504;
112;26.453;104756;-0.00543512;
116;26.437;104748;-0.0010719;
120;26.422;104739;0.00574115;
124;26.404;104738;-0.00386088;
128;26.386;104728;0.00286376;
132;26.369;104725;-0.00247691;
136;26.349;104715;0.00297942;
140;26.332;104706;0.00852558;
144;26.313;104702;0.00373042;
148;26.295;104693;0.00864196;
152;26.274;104685;0.0098366;
156;26.254;104682;0.00259123;
160;26.235;104676;0.00142375;
164;26.214;104660;0.0171415;
168;26.192;104657;0.00862458;
172;26.173;104649;0.0110885;
